gameid,roundNum,targetName,alt1Name,alt2Name,refLevel
5239-5,4,tulip,lily,grasses,basic
4393-a,30,germanshepherd,greyhound,horse,basic
3695-5,43,husky,greyhound,horse,type
8258-f,58,swordfish,discusfish,iguana,type
2195-2,54,sunflower,lily,ivy,type
2195-2,16,rose,lily,ivy,type
9551-7,27,germanshepherd,greyhound,kitten,type
5934-3,63,parrot,sparrow,lobster,type
3293-5,27,minivan,sedan,motorcycle,type
3158-b,22,suv,sedan,motorcycle,type
8430-f,28,polarbear,koalabear,pig,type
4452-5,5,jellybeans,candycorn,popcorn,type
5239-5,57,skittles,candycorn,pretzels,type
5239-5,37,pug,greyhound,rabbit,type
4393-a,19,goldfish,discusfish,rhino,basic
4452-5,60,sunflower,lily,rosemary,type
3293-5,22,rose,lily,rosemary,basic
4393-a,12,swordfish,discusfish,sheep,type
3695-5,14,pug,greyhound,sheep,basic
3504-8,11,tshirt,campshirt,socks,basic
8286-0,65,pug,greyhound,squirrel,type
5239-5,23,parrot,sparrow,squirrel,type
5628-2,49,minivan,sedan,train,type
5934-3,65,sportscar,sedan,train,basic
7830-a,57,picnictable,sidetable,wardrobe,type
9807-5,26,gummybears,popcorn,candycorn,type
1223-7,15,gummybears,pretzels,candycorn,type
1223-7,22,germanshepherd,crocodile,greyhound,type
8286-0,54,husky,crocodile,greyhound,type
5628-2,12,husky,lobster,greyhound,basic
2195-2,42,germanshepherd,sheep,greyhound,basic
5239-5,70,husky,snake,greyhound,type
4452-5,29,dalmatian,squirrel,greyhound,type
8430-f,27,rose,rosemary,lily,type
4393-a,17,suv,motorcycle,sedan,type
6456-4,44,hawaiishirt,gloves,campshirt,type
4517-f,53,jellybeans,chips,candycorn,type
8258-f,43,jellybeans,cookies,candycorn,type
7830-a,4,skittles,pretzels,candycorn,type
4393-a,54,jellybeans,popcorn,candycorn,type
6456-4,5,skittles,popcorn,candycorn,type
3158-b,10,goldfish,cow,discusfish,basic
5628-2,36,goldfish,kitten,discusfish,type
7830-a,15,goldfish,snake,discusfish,type
3504-8,55,dalmatian,horse,greyhound,type
5934-3,51,germanshepherd,lion,greyhound,type
4842-f,53,pug,lion,greyhound,super
5934-3,46,pug,lobster,greyhound,type
9551-7,6,blackbear,bison,koalabear,basic
9807-5,5,blackbear,lobster,koalabear,type
8286-0,52,polarbear,chick,koalabear,type
5239-5,65,pandabear,cow,koalabear,type
9551-7,49,polarbear,elephant,koalabear,type
5975-e,33,polarbear,pig,koalabear,type
4393-a,61,daisy,ivy,lily,type
9551-7,4,daisy,ivy,lily,type
9807-5,31,sportscar,ambulance,sedan,type
5512-7,14,minivan,ambulance,sedan,type
5628-2,24,convertible,motorcycle,sedan,type
8286-0,1,suv,firetruck,sedan,basic
3158-b,51,convertible,train,sedan,basic
8430-f,42,diningtable,bookcase,sidetable,type
5934-3,39,picnictable,bookcase,sidetable,type
9551-7,5,pigeon,sheep,sparrow,type
0198-d,50,pigeon,kitten,sparrow,type
0198-d,33,poloshirt,dress,campshirt,type
2919-a,37,poloshirt,gloves,campshirt,type
8935-b,28,hawaiishirt,socks,campshirt,basic
3504-8,26,skittles,cookies,candycorn,type
0198-d,25,gummybears,cookies,candycorn,type
4393-a,22,gummybears,popcorn,candycorn,type
9551-7,67,jellybeans,chips,candycorn,type
8430-f,41,mnms,pretzels,candycorn,type
8286-0,32,skittles,pretzels,candycorn,type
5934-3,31,gummybears,pretzels,candycorn,type
6456-4,63,clownfish,horse,discusfish,type
1223-7,19,swordfish,rhino,discusfish,type
3504-8,61,clownfish,squirrel,discusfish,basic
0198-d,49,goldfish,squirrel,discusfish,type
1223-7,7,goldfish,cow,discusfish,type
5512-7,36,catfish,pig,discusfish,type
3158-b,39,catfish,pig,discusfish,basic
2919-a,5,swordfish,rhino,discusfish,type
5239-5,14,swordfish,cow,discusfish,type
3504-8,65,goldfish,horse,discusfish,basic
8430-f,68,pug,lion,greyhound,type
9807-5,36,husky,cow,greyhound,type
3293-5,4,pandabear,bison,koalabear,type
9551-7,64,pandabear,elephant,koalabear,type
9807-5,64,pandabear,pig,koalabear,basic
5628-2,40,grizzlybear,cow,koalabear,basic
7830-a,31,grizzlybear,snake,koalabear,basic
8258-f,33,rose,pottedplant,lily,type
2195-2,41,daisy,pottedplant,lily,type
5076-0,33,daisy,grasses,lily,basic
1223-7,67,rose,grasses,lily,type
6456-4,70,tulip,rosemary,lily,type
6456-4,10,rose,pottedplant,lily,type
3695-5,65,daisy,rosemary,lily,basic
5076-0,71,suv,train,sedan,type
4393-a,56,sportscar,motorcycle,sedan,basic
2919-a,71,suv,train,sedan,type
4452-5,40,diningtable,bed,sidetable,basic
3695-5,52,picnictable,bed,sidetable,type
3293-5,2,bedsidetable,wardrobe,sidetable,type
5512-7,4,picnictable,bookcase,sidetable,type
5239-5,28,coffeetable,wardrobe,sidetable,type
3504-8,62,eagle,bison,sparrow,type
3695-5,50,parrot,chick,sparrow,type
6456-4,45,pigeon,chick,sparrow,basic
9807-5,63,pigeon,rabbit,sparrow,basic
8430-f,69,eagle,cow,sparrow,type
3158-b,16,pigeon,rabbit,sparrow,basic
5512-7,35,pigeon,sheep,sparrow,type
9551-7,30,minivan,motorcycle,ambulance,type
8684-3,28,sportscar,train,ambulance,type
9551-7,46,suv,train,ambulance,type
5076-0,65,minivan,train,ambulance,type
5934-3,5,tshirt,socks,bathrobe,type
1223-7,8,picnictable,lamp,bed,type
9551-7,55,diningtable,bookcase,bed,basic
4393-a,71,pug,rhino,bison,basic
5628-2,42,pug,crocodile,bison,basic
6456-4,11,catfish,elephant,bison,basic
8430-f,17,hummingbird,horse,bison,basic
8286-0,31,hawaiishirt,dress,bathrobe,basic
3158-b,68,picnictable,wardrobe,bed,basic
8258-f,13,coffeetable,bookcase,bed,basic
5512-7,56,bedsidetable,wardrobe,bed,basic
8286-0,22,minivan,motorcycle,ambulance,basic
6456-4,46,poloshirt,socks,bathrobe,basic
8286-0,14,coffeetable,bookcase,bed,basic
3504-8,9,bedsidetable,lamp,bed,basic
8286-0,17,swordfish,horse,bison,type
2919-a,39,blackbear,kitten,chick,basic
0198-d,61,polarbear,squirrel,chick,type
5512-7,39,hawaiishirt,bathrobe,dress,basic
0198-d,70,dressshirt,gloves,dress,basic
9807-5,51,dressshirt,socks,dress,basic
5934-3,47,catfish,chick,elephant,type
3293-5,12,daisy,rosemary,grasses,basic
9551-7,66,eagle,snake,horse,type
8430-f,31,goldfish,lobster,iguana,basic
5934-3,6,rose,rosemary,ivy,type
8258-f,44,pug,snake,lion,basic
6456-4,36,swordfish,elephant,pig,basic
5628-2,65,daisy,ivy,pottedplant,basic
3504-8,68,pug,pig,rabbit,basic
6456-4,13,husky,squirrel,rabbit,basic
5239-5,51,germanshepherd,chick,rhino,type
5239-5,66,pigeon,sheep,rhino,basic
5975-e,18,tulip,grasses,rosemary,basic
0198-d,65,daisy,ivy,rosemary,basic
3504-8,1,tulip,pottedplant,rosemary,basic
4393-a,31,pandabear,iguana,sheep,basic
3293-5,65,goldfish,rabbit,snake,basic
7830-a,68,hawaiishirt,gloves,socks,basic
4517-f,58,clownfish,iguana,squirrel,basic
5512-7,12,diningtable,bookcase,wardrobe,basic
3158-b,8,coffeetable,bookcase,wardrobe,basic
8286-0,18,hummingbird,snake,chick,basic
5628-2,10,skittles,pretzels,chips,type
4452-5,61,gummybears,chips,cookies,type
2919-a,13,pigeon,crocodile,cow,type
3293-5,60,dalmatian,pig,cow,basic
3293-5,56,polarbear,kitten,crocodile,type
4452-5,24,parrot,lion,crocodile,type
8430-f,22,tshirt,bathrobe,dress,basic
7830-a,25,swordfish,kitten,elephant,type
3293-5,49,eagle,pig,elephant,type
5239-5,71,sportscar,motorcycle,firetruck,basic
0198-d,9,convertible,motorcycle,firetruck,basic
8258-f,61,poloshirt,socks,gloves,basic
2195-2,5,tshirt,socks,gloves,basic
2195-2,28,dressshirt,socks,gloves,basic
8258-f,19,dressshirt,dress,gloves,basic
5934-3,41,dressshirt,dress,gloves,basic
4842-f,19,hawaiishirt,dress,gloves,super
3695-5,34,poloshirt,dress,gloves,basic
2195-2,30,tulip,pottedplant,grasses,type
5628-2,9,eagle,lion,iguana,type
4452-5,27,pug,chick,iguana,type
9807-5,48,polarbear,crocodile,kitten,basic
4517-f,44,dalmatian,rabbit,kitten,basic
5934-3,17,blackbear,horse,lion,basic
7830-a,64,germanshepherd,horse,lion,basic
9807-5,18,clownfish,pig,lion,basic
8258-f,26,goldfish,lobster,lion,basic
4517-f,51,catfish,cow,lobster,basic
3158-b,61,pandabear,crocodile,lobster,basic
3695-5,8,minivan,train,motorcycle,type
5512-7,64,pandabear,kitten,pig,basic
5628-2,43,pigeon,rhino,pig,basic
4452-5,46,goldfish,iguana,pig,basic
5239-5,7,jellybeans,pretzels,popcorn,type
9551-7,42,tulip,grasses,pottedplant,basic
5512-7,15,daisy,rosemary,pottedplant,type
5239-5,30,sunflower,ivy,pottedplant,type
2195-2,63,skittles,chips,pretzels,type
3695-5,10,mnms,chips,pretzels,type
4393-a,2,clownfish,bison,rabbit,basic
3504-8,29,hummingbird,horse,rabbit,basic
2919-a,32,dalmatian,bison,rhino,type
4452-5,62,blackbear,elephant,sheep,type
5628-2,4,blackbear,iguana,sheep,basic
9551-7,24,catfish,kitten,snake,basic
9807-5,25,tshirt,dress,socks,basic
6456-4,68,blackbear,kitten,squirrel,basic
3504-8,15,pandabear,rabbit,squirrel,type
3158-b,27,dalmatian,sheep,squirrel,basic
4393-a,15,catfish,chick,squirrel,basic
4393-a,6,pigeon,elephant,squirrel,basic
8430-f,51,picnictable,bookcase,wardrobe,type
5076-0,53,diningtable,lamp,wardrobe,type
3293-5,53,diningtable,bed,bookcase,basic
2195-2,32,picnictable,bed,bookcase,type
5934-3,21,diningtable,lamp,bookcase,basic
9807-5,39,coffeetable,wardrobe,bookcase,basic
2919-a,34,catfish,bison,chick,basic
3695-5,19,gummybears,cookies,chips,type
3158-b,69,mnms,popcorn,chips,basic
6456-4,65,jellybeans,popcorn,chips,type
4517-f,32,gummybears,pretzels,chips,type
3504-8,36,jellybeans,pretzels,chips,type
8286-0,16,jellybeans,popcorn,cookies,type
1223-7,11,skittles,pretzels,cookies,type
5239-5,26,gummybears,chips,cookies,type
2195-2,55,parrot,snake,cow,type
8258-f,2,hummingbird,bison,crocodile,type
2919-a,22,hummingbird,kitten,crocodile,basic
5934-3,70,hummingbird,rabbit,crocodile,type
4393-a,21,hummingbird,chick,crocodile,basic
2195-2,20,poloshirt,bathrobe,dress,type
1223-7,37,grizzlybear,kitten,elephant,basic
9807-5,16,swordfish,lion,elephant,basic
8286-0,10,eagle,sheep,elephant,type
0198-d,54,dalmatian,crocodile,elephant,basic
1223-7,6,eagle,snake,elephant,type
9551-7,25,hummingbird,snake,elephant,basic
3293-5,68,sportscar,ambulance,firetruck,basic
8430-f,23,suv,ambulance,firetruck,basic
1223-7,56,minivan,train,firetruck,type
5512-7,50,poloshirt,bathrobe,gloves,basic
6456-4,28,tshirt,bathrobe,gloves,basic
0198-d,32,tshirt,dress,gloves,basic
1223-7,42,daisy,ivy,grasses,type
8430-f,13,daisy,rosemary,grasses,basic
5239-5,1,daisy,ivy,grasses,basic
3504-8,43,catfish,chick,horse,basic
3695-5,66,germanshepherd,kitten,iguana,basic
3504-8,27,daisy,grasses,ivy,basic
3158-b,24,rose,grasses,ivy,basic
4842-f,8,pandabear,rabbit,kitten,super
8286-0,56,clownfish,lobster,kitten,basic
4393-a,35,diningtable,bed,lamp,basic
9807-5,1,picnictable,wardrobe,lamp,basic
3695-5,59,pigeon,iguana,lion,type
3504-8,54,grizzlybear,squirrel,lion,basic
3158-b,70,germanshepherd,squirrel,lobster,basic
4452-5,25,minivan,firetruck,motorcycle,type
4452-5,34,convertible,firetruck,motorcycle,type
5628-2,60,dalmatian,lobster,pig,basic
8430-f,39,swordfish,lobster,pig,type
4517-f,10,blackbear,iguana,pig,type
8258-f,16,skittles,pretzels,popcorn,type
1223-7,35,sunflower,ivy,pottedplant,type
0198-d,36,tulip,rosemary,pottedplant,type
3158-b,18,daisy,rosemary,pottedplant,basic
2919-a,68,tulip,rosemary,pottedplant,type
3695-5,48,jellybeans,popcorn,pretzels,type
1223-7,1,mnms,popcorn,pretzels,basic
3293-5,43,gummybears,cookies,pretzels,type
0198-d,19,jellybeans,cookies,pretzels,type
8258-f,41,gummybears,popcorn,pretzels,type
2195-2,69,pug,bison,rabbit,basic
5512-7,11,clownfish,bison,rabbit,basic
6456-4,62,pug,bison,rabbit,basic
4393-a,9,blackbear,cow,rabbit,basic
8430-f,66,pigeon,lobster,rabbit,basic
5239-5,44,grizzlybear,sheep,rabbit,basic
5076-0,44,polarbear,elephant,rhino,basic
5512-7,41,germanshepherd,horse,rhino,basic
9807-5,42,germanshepherd,elephant,rhino,basic
2919-a,40,polarbear,elephant,rhino,type
1223-7,63,tulip,pottedplant,rosemary,type
5628-2,68,rose,grasses,rosemary,type
4452-5,6,tulip,ivy,rosemary,type
8286-0,67,daisy,ivy,rosemary,basic
7830-a,53,clownfish,cow,sheep,basic
3695-5,39,clownfish,elephant,sheep,basic
4517-f,33,pug,iguana,sheep,basic
2195-2,33,pandabear,squirrel,sheep,basic
4517-f,31,grizzlybear,iguana,snake,basic
8258-f,54,parrot,sheep,snake,basic
5239-5,47,dalmatian,cow,snake,type
9807-5,71,goldfish,chick,snake,basic
3158-b,2,husky,crocodile,snake,type
8430-f,71,parrot,rhino,snake,basic
0198-d,43,pandabear,rhino,snake,type
4842-f,36,dressshirt,dress,socks,super
3695-5,18,dressshirt,dress,socks,basic
4452-5,63,eagle,bison,squirrel,type
2919-a,72,husky,chick,squirrel,basic
2919-a,6,convertible,ambulance,train,basic
6456-4,18,diningtable,bookcase,wardrobe,basic
6456-4,59,germanshepherd,lion,ambulance,basic
7830-a,49,sportscar,lion,ambulance,basic
7830-a,55,polarbear,rhino,ambulance,basic
6456-4,16,suv,sheep,ambulance,basic
3293-5,66,dressshirt,ambulance,bathrobe,basic
8684-3,25,hawaiishirt,bison,bathrobe,type
6456-4,24,goldfish,bison,bathrobe,basic
1223-7,44,tshirt,rhino,bathrobe,basic
8286-0,26,tshirt,grasses,bathrobe,basic
9551-7,9,pug,kitten,bathrobe,basic
1223-7,71,poloshirt,pretzels,bathrobe,type
9807-5,2,convertible,firetruck,bathrobe,type
8430-f,2,dressshirt,horse,bathrobe,basic
5934-3,38,eagle,pig,bathrobe,type
3695-5,64,diningtable,wardrobe,bathrobe,basic
5076-0,46,bedsidetable,ambulance,bed,type
3695-5,2,pandabear,horse,bed,type
2919-a,25,bedsidetable,dress,bed,type
8286-0,60,parrot,pig,bed,basic
6456-4,15,hummingbird,bookcase,bison,basic
2919-a,56,grizzlybear,elephant,ambulance,basic
4393-a,20,poloshirt,cookies,bathrobe,basic
1223-7,62,parrot,iguana,bathrobe,type
3695-5,23,convertible,train,bathrobe,basic
1223-7,2,hummingbird,chick,bed,super
4517-f,19,germanshepherd,pig,bed,basic
9807-5,52,grizzlybear,sheep,bed,basic
9807-5,70,diningtable,snake,bed,basic
8258-f,64,convertible,firetruck,bison,basic
3158-b,32,poloshirt,socks,bison,basic
4393-a,42,coffeetable,bookcase,bison,basic
5512-7,44,coffeetable,wardrobe,bison,basic
4393-a,52,parrot,cow,ambulance,basic
5628-2,35,hawaiishirt,lamp,bathrobe,basic
2195-2,19,blackbear,cow,bed,basic
4517-f,34,bedsidetable,horse,bed,type
4393-a,55,mnms,pretzels,chick,type
8286-0,49,sunflower,rosemary,cookies,basic
3293-5,59,parrot,sheep,dress,type
5628-2,25,jellybeans,cookies,firetruck,type
1223-7,13,sportscar,cookies,firetruck,basic
8430-f,9,tulip,rosemary,lamp,type
5512-7,55,hummingbird,chips,lion,basic
8258-f,35,tshirt,dress,lion,basic
9807-5,12,sunflower,pottedplant,lion,basic
8430-f,60,minivan,pretzels,motorcycle,type
0198-d,45,hummingbird,pretzels,pig,basic
5628-2,57,parrot,rosemary,pig,basic
9807-5,21,parrot,elephant,popcorn,basic
5628-2,44,dressshirt,gloves,pretzels,basic
9551-7,35,hawaiishirt,socks,pretzels,basic
5934-3,61,daisy,horse,rosemary,type
8258-f,37,pigeon,pig,rosemary,basic
4452-5,52,daisy,grasses,snake,basic
4842-f,29,sunflower,pottedplant,socks,super
3293-5,34,pigeon,kitten,train,type
8258-f,14,blackbear,rabbit,train,basic
0198-d,23,mnms,popcorn,chick,type
8286-0,55,dalmatian,dress,chick,basic
7830-a,65,husky,lamp,chick,basic
2919-a,63,jellybeans,bed,cookies,type
4452-5,69,dressshirt,gloves,cookies,basic
0198-d,39,rose,grasses,cow,type
3158-b,15,grizzlybear,crocodile,dress,basic
8430-f,52,hawaiishirt,rhino,dress,basic
8258-f,50,sportscar,train,elephant,basic
8684-3,1,pandabear,bookcase,elephant,super
4452-5,49,suv,elephant,firetruck,basic
4393-a,49,tulip,grasses,firetruck,basic
5239-5,24,polarbear,chick,grasses,type
9807-5,23,bedsidetable,bookcase,horse,type
1223-7,49,husky,cookies,iguana,basic
5628-2,6,germanshepherd,lamp,iguana,basic
5975-e,64,sunflower,pottedplant,lamp,basic
0198-d,22,bedsidetable,pottedplant,lamp,type
5934-3,62,hawaiishirt,socks,lamp,basic
7111-e,62,catfish,pretzels,lobster,basic
2919-a,45,sportscar,train,lobster,basic
4517-f,63,tshirt,dress,motorcycle,type
7830-a,52,pandabear,dress,pig,type
3504-8,14,husky,crocodile,popcorn,basic
8684-3,34,mnms,sheep,popcorn,basic
3504-8,16,coffeetable,wardrobe,popcorn,basic
3695-5,22,coffeetable,wardrobe,popcorn,basic
3293-5,1,clownfish,bison,pottedplant,basic
3293-5,58,skittles,bison,pretzels,basic
5512-7,37,jellybeans,lobster,pretzels,basic
4517-f,23,mnms,rhino,pretzels,type
3504-8,4,gummybears,lamp,pretzels,type
9551-7,63,grizzlybear,bookcase,rabbit,basic
5628-2,30,swordfish,cookies,rhino,type
2919-a,17,rose,bathrobe,rosemary,type
0198-d,11,swordfish,chick,rosemary,basic
8258-f,17,husky,motorcycle,sheep,basic
5975-e,2,rose,rosemary,sheep,basic
8430-f,5,grizzlybear,gloves,snake,basic
5239-5,63,suv,squirrel,train,basic
3695-5,44,swordfish,lion,train,basic
5512-7,58,convertible,pottedplant,train,basic
0198-d,64,eagle,rabbit,train,type
8286-0,41,picnictable,ivy,wardrobe,basic
8258-f,38,picnictable,crocodile,wardrobe,basic
5239-5,72,poloshirt,bathrobe,bookcase,basic
1223-7,17,bedsidetable,bison,bookcase,type
5239-5,10,picnictable,cookies,bookcase,type
9551-7,11,clownfish,kitten,bookcase,basic
3695-5,27,bedsidetable,iguana,bookcase,type
6456-4,33,polarbear,rabbit,chips,basic
5934-3,52,tulip,ivy,chips,type
2919-a,29,eagle,snake,cookies,type
7830-a,14,convertible,motorcycle,cookies,basic
5076-0,29,convertible,firetruck,cookies,type
4452-5,71,swordfish,pig,cookies,basic
6456-4,53,gummybears,rabbit,cookies,type
7830-a,58,dressshirt,bathrobe,cow,basic
4517-f,65,diningtable,wardrobe,cow,basic
5512-7,16,dalmatian,ivy,cow,basic
4452-5,56,polarbear,ivy,cow,type
3293-5,26,suv,ambulance,crocodile,basic
1223-7,31,clownfish,bed,crocodile,type
5239-5,53,minivan,train,crocodile,basic
8430-f,21,germanshepherd,gloves,crocodile,basic
2195-2,66,coffeetable,wardrobe,crocodile,basic
9551-7,7,dressshirt,lion,dress,basic
8684-3,52,skittles,pretzels,dress,basic
5239-5,68,dressshirt,train,dress,basic
5512-7,27,tshirt,train,dress,basic
2195-2,14,diningtable,bed,elephant,basic
2195-2,35,polarbear,ambulance,elephant,type
4393-a,45,minivan,iguana,firetruck,type
9551-7,71,rose,ivy,firetruck,type
3158-b,65,hummingbird,rhino,firetruck,basic
9551-7,41,convertible,iguana,firetruck,type
6456-4,27,grizzlybear,sheep,firetruck,basic
8258-f,25,hawaiishirt,bed,gloves,basic
9551-7,58,poloshirt,ivy,gloves,basic
4452-5,57,tshirt,rabbit,gloves,basic
4393-a,4,polarbear,lamp,horse,basic
3158-b,11,diningtable,bookcase,iguana,basic
7830-a,43,jellybeans,chips,iguana,type
0198-d,14,blackbear,gloves,iguana,basic
3293-5,8,tulip,rabbit,ivy,basic
2919-a,69,sunflower,rhino,ivy,type
3504-8,3,rose,kitten,ivy,basic
4517-f,71,skittles,pretzels,ivy,type
1223-7,61,polarbear,bathrobe,kitten,type
4517-f,27,hummingbird,bookcase,kitten,basic
3504-8,46,parrot,ivy,kitten,basic
3158-b,52,tulip,rosemary,kitten,basic
0198-d,4,picnictable,cookies,lamp,basic
2919-a,51,tshirt,socks,lamp,basic
4452-5,44,coffeetable,crocodile,lamp,basic
5628-2,41,coffeetable,crocodile,lamp,basic
5239-5,46,diningtable,elephant,lamp,type
3504-8,38,swordfish,lamp,lion,basic
3695-5,72,dalmatian,train,lion,basic
4517-f,29,pandabear,gloves,lobster,basic
8430-f,40,clownfish,socks,lobster,basic
8286-0,5,mnms,cookies,lobster,type
8430-f,24,sportscar,rhino,motorcycle,basic
4517-f,43,dressshirt,bathrobe,pig,basic
9807-5,62,catfish,lamp,pig,basic
0198-d,8,hawaiishirt,socks,pig,basic
3293-5,14,pug,pottedplant,pig,basic
7111-e,13,clownfish,grasses,pig,type
8286-0,57,pandabear,pottedplant,pig,type
9807-5,13,hummingbird,rhino,popcorn,basic
2919-a,10,skittles,squirrel,popcorn,type
4452-5,45,mnms,iguana,popcorn,type
2195-2,71,jellybeans,train,popcorn,type
6456-4,69,bedsidetable,bookcase,popcorn,type
8430-f,49,sunflower,dress,pottedplant,basic
5076-0,69,pug,iguana,pottedplant,basic
3158-b,67,gummybears,ambulance,pretzels,basic
3158-b,63,tshirt,dress,pretzels,basic
8684-3,39,gummybears,horse,pretzels,type
8286-0,63,convertible,firetruck,rabbit,basic
4842-f,55,gummybears,chips,rhino,super
4393-a,23,eagle,lamp,rhino,type
5076-0,32,sunflower,iguana,rosemary,type
5934-3,11,pigeon,lobster,rosemary,basic
5934-3,4,clownfish,rhino,rosemary,basic
6456-4,37,sunflower,dress,rosemary,basic
5512-7,30,parrot,lobster,rosemary,basic
3695-5,29,eagle,pig,rosemary,type
2195-2,22,grizzlybear,lamp,sheep,basic
7830-a,42,pug,ivy,sheep,basic
3158-b,37,minivan,motorcycle,snake,basic
4452-5,66,hawaiishirt,firetruck,socks,basic
3293-5,25,jellybeans,pretzels,socks,type
2195-2,12,hawaiishirt,lobster,socks,basic
9807-5,60,hawaiishirt,snake,socks,basic
5512-7,65,swordfish,kitten,socks,basic
5934-3,32,mnms,popcorn,socks,type
5239-5,62,eagle,sheep,socks,type
2195-2,52,sportscar,firetruck,squirrel,basic
5239-5,43,goldfish,pottedplant,squirrel,type
3504-8,32,suv,bison,train,basic
3504-8,57,minivan,crocodile,train,basic
2195-2,29,dalmatian,rhino,train,basic
3695-5,5,polarbear,snake,train,type
9551-7,52,sportscar,dress,train,basic
3158-b,45,skittles,popcorn,train,type
5628-2,52,tulip,grasses,wardrobe,basic
5512-7,10,mnms,chips,wardrobe,type
3504-8,48,mnms,cookies,wardrobe,basic
8258-f,51,dalmatian,bed,ambulance,basic
3293-5,9,swordfish,bathrobe,ambulance,type
2919-a,38,parrot,bed,ambulance,type
8684-3,18,husky,motorcycle,ambulance,super
3293-5,57,tshirt,pig,ambulance,basic
0198-d,72,husky,pretzels,bathrobe,basic
5239-5,38,clownfish,train,bed,type
7830-a,60,poloshirt,squirrel,bison,basic
9551-7,1,gummybears,cow,ambulance,basic
3158-b,42,swordfish,bookcase,ambulance,type
5239-5,39,catfish,ambulance,bed,basic
6456-4,41,dalmatian,cookies,bed,basic
5239-5,3,blackbear,pottedplant,bed,basic
9551-7,26,mnms,gloves,bison,basic
4517-f,39,tulip,cookies,bison,type
3695-5,63,catfish,wardrobe,bathrobe,basic
9807-5,55,suv,sheep,bed,basic
9551-7,34,picnictable,sheep,chick,basic
8286-0,53,diningtable,iguana,chips,basic
2919-a,9,dressshirt,chick,cookies,basic
0198-d,5,pug,popcorn,cookies,basic
8286-0,12,dressshirt,rhino,cookies,basic
8684-3,9,suv,snake,cookies,super
3695-5,6,tulip,crocodile,cow,basic
8258-f,59,suv,popcorn,dress,basic
5239-5,50,bedsidetable,crocodile,elephant,type
5239-5,41,mnms,rosemary,elephant,type
3695-5,16,rose,wardrobe,elephant,basic
0198-d,52,minivan,kitten,gloves,type
4452-5,65,bedsidetable,cookies,horse,type
6456-4,52,dressshirt,lamp,horse,basic
3158-b,50,jellybeans,ambulance,iguana,type
3504-8,10,sportscar,rosemary,iguana,basic
4393-a,70,hawaiishirt,firetruck,kitten,basic
3158-b,60,eagle,rosemary,motorcycle,type
5934-3,68,poloshirt,pretzels,pig,basic
